oblast,month,idp_present
Chernihivska,2022-02,1115
Chernihivska,2022-03,6168
Chernihivska,2022-04,69841
Chernihivska,2022-05,70304
Chernihivska,2022-06,70618
Chernihivska,2022-07,71141
Chernihivska,2022-08,71595
Chernihivska,2022-09,71809
Chernihivska,2022-10,72569
Chernihivska,2022-11,72351
Chernihivska,2022-12,69839
Chernihivska,2023-01,67243
Chernihivska,2023-02,65320
Chernihivska,2023-03,64509
Chernihivska,2023-04,64149
Chernihivska,2023-05,65104
Chernihivska,2023-06,64978
Chernihivska,2023-07,64374
Chernihivska,2023-08,64259
Chernihivska,2023-09,64027
Chernihivska,2023-10,63805
Chernihivska,2023-11,63562
Chernihivska,2023-12,63304
Chernihivska,2024-01,63092
Chernihivska,2024-02,62916
Chernihivska,2024-03,62496
Chernihivska,2024-04,62323
Chernihivska,2024-05,62368
Chernihivska,2024-06,62387
Chernihivska,2024-07,62428
Chernihivska,2024-08,62633
Chernihivska,2024-09,62987
Chernihivska,2024-10,63018
Chernihivska,2024-11,62829
Chernihivska,2025-02,63304
Chernihivska,2025-04,63013
Chernihivska,2025-05,62909
Chernihivska,2025-06,62932
Chernihivska,2025-07,62890
Chernihivska,2025-08,62941
Chernihivska,2025-09,63371
Chernihivska,2025-10,63626
Chernihivska,2025-11,64004
Chernihivska,2025-12,64044
Chernihivska,2026-01,64068
Kharkivska,2022-02,1571
Kharkivska,2022-03,24942
Kharkivska,2022-04,168422
Kharkivska,2022-05,198908
Kharkivska,2022-06,224339
Kharkivska,2022-07,246691
Kharkivska,2022-08,269006
Kharkivska,2022-09,291263
Kharkivska,2022-10,309531
Kharkivska,2022-11,323833
Kharkivska,2022-12,333861
Kharkivska,2023-01,344238
Kharkivska,2023-02,354288
Kharkivska,2023-03,363788
Kharkivska,2023-04,372202
Kharkivska,2023-05,382018
Kharkivska,2023-06,391174
Kharkivska,2023-07,400547
Kharkivska,2023-08,408463
Kharkivska,2023-09,413659
Kharkivska,2023-10,419037
Kharkivska,2023-11,421827
Kharkivska,2023-12,422313
Kharkivska,2024-01,422966
Kharkivska,2024-02,423307
Kharkivska,2024-03,423896
Kharkivska,2024-04,424276
Kharkivska,2024-05,423915
Kharkivska,2024-06,423832
Kharkivska,2024-07,422783
Kharkivska,2024-08,421807
Kharkivska,2024-09,422423
Kharkivska,2024-10,423640
Kharkivska,2024-11,423913
Kharkivska,2025-02,421561
Kharkivska,2025-04,420288
Kharkivska,2025-05,418694
Kharkivska,2025-06,416975
Kharkivska,2025-07,417213
Kharkivska,2025-08,415911
Kharkivska,2025-09,417173
Kharkivska,2025-10,418681
Kharkivska,2025-11,420269
Kharkivska,2025-12,420564
Kharkivska,2026-01,419622
Sumska,2022-02,1101
Sumska,2022-03,5187
Sumska,2022-04,35271
Sumska,2022-05,38175
Sumska,2022-06,45175
Sumska,2022-07,52253
Sumska,2022-08,57654
Sumska,2022-09,62870
Sumska,2022-10,66036
Sumska,2022-11,68313
Sumska,2022-12,69090
Sumska,2023-01,70144
Sumska,2023-02,70808
Sumska,2023-03,71485
Sumska,2023-04,72312
Sumska,2023-05,73900
Sumska,2023-06,75449
Sumska,2023-07,77619
Sumska,2023-08,78514
Sumska,2023-09,79263
Sumska,2023-10,80217
Sumska,2023-11,80545
Sumska,2023-12,80679
Sumska,2024-01,80700
Sumska,2024-02,80715
Sumska,2024-03,81271
Sumska,2024-04,81512
Sumska,2024-05,82487
Sumska,2024-06,82649
Sumska,2024-07,82249
Sumska,2024-08,83568
Sumska,2024-09,83684
Sumska,2024-10,84503
Sumska,2024-11,84780
Sumska,2025-02,83891
Sumska,2025-04,89024
Sumska,2025-05,90651
Sumska,2025-06,91180
Sumska,2025-07,91629
Sumska,2025-08,91612
Sumska,2025-09,92205
Sumska,2025-10,92705
Sumska,2025-11,93602
Sumska,2025-12,94046
Sumska,2026-01,94372
