source,month,new_companies,new_fops
edr_data.gov.ua,2021-01,4561,18728
edr_data.gov.ua,2021-02,5018,22543
edr_data.gov.ua,2021-03,5707,24676
edr_data.gov.ua,2021-04,5410,24456
edr_data.gov.ua,2021-05,4092,22558
edr_data.gov.ua,2021-06,4690,26919
edr_data.gov.ua,2021-07,4570,29551
edr_data.gov.ua,2021-08,4305,25605
edr_data.gov.ua,2021-09,4723,28986
edr_data.gov.ua,2021-10,4009,25241
edr_data.gov.ua,2021-11,4982,25282
edr_data.gov.ua,2021-12,4970,21838
edr_data.gov.ua,2022-01,3294,24442
edr_data.gov.ua,2022-02,4095,22468
edr_data.gov.ua,2022-03,503,2049
edr_data.gov.ua,2022-04,2157,12925
edr_data.gov.ua,2022-05,2897,15666
edr_data.gov.ua,2022-06,3268,18241
edr_data.gov.ua,2022-07,3052,19339
edr_data.gov.ua,2022-08,3071,20314
edr_data.gov.ua,2022-09,3172,20296
edr_data.gov.ua,2022-10,2702,17430
edr_data.gov.ua,2022-11,2886,16061
edr_data.gov.ua,2022-12,2756,12056
edr_data.gov.ua,2023-01,2249,17060
edr_data.gov.ua,2023-02,2803,16573
edr_data.gov.ua,2023-03,3316,21893
edr_data.gov.ua,2023-04,3054,21804
edr_data.gov.ua,2023-05,3429,26142
edr_data.gov.ua,2023-06,3389,32080
edr_data.gov.ua,2023-07,3112,29400
edr_data.gov.ua,2023-08,3442,31311
edr_data.gov.ua,2023-09,3406,35937
edr_data.gov.ua,2023-10,3463,33438
edr_data.gov.ua,2023-11,3175,26195
edr_data.gov.ua,2023-12,3065,16382
edr_data.gov.ua,2024-01,2765,25532
edr_data.gov.ua,2024-02,3236,24425
edr_data.gov.ua,2024-03,3372,24482
edr_data.gov.ua,2024-04,3303,26984
edr_data.gov.ua,2024-05,3112,25216
edr_data.gov.ua,2024-06,2609,22276
edr_data.gov.ua,2024-07,2818,25394
edr_data.gov.ua,2024-08,3007,26240
edr_data.gov.ua,2024-09,3052,28212
edr_data.gov.ua,2024-10,3087,27417
edr_data.gov.ua,2024-11,3108,21625
edr_data.gov.ua,2024-12,1791,8906
